source,participant-id,timestamp,sedentary-minutes,lightly-active-minutes,fairly-active-minutes,very-active-minutes,sedentary-active-distance,light-active-distance,moderately-active-distance,very-active-distance
fitbit,5577150313,1461888000.0,739,165,36,97,0,2.47000002861023,0.610000014305115,2.83999991416931
fitbit,5577150313,1461974400.0,621,163,45,207,0,2.60999989509583,0.790000021457672,5.82999992370605
fitbit,5577150313,1462060800.0,499,178,72,194,0,3.24000000953674,1.44000005722046,5.30999994277954
fitbit,5577150313,1462147200.0,732,235,20,37,0,4.07000017166138,0.349999994039536,1.12000000476837
fitbit,5577150313,1462233600.0,580,212,8,97,0,3.5699999332428,0.150000005960464,4.51999998092651
fitbit,5577150313,1462320000.0,631,141,9,25,0,2.07999992370605,0.25,1.55999994277954
fitbit,5577150313,1462406400.0,1153,143,21,45,0,2.67000007629395,0.469999998807907,2.5
fitbit,5577150313,1462492800.0,1304,79,16,41,0,1.45000004768372,0.319999992847443,1.92999994754791
fitbit,5577150313,1462579200.0,1440,0,0,0,0,0,0,0
fitbit,5577150313,1462665600.0,1440,0,0,0,0,0,0,0
fitbit,5577150313,1462752000.0,1099,70,11,34,0,0.990000009536743,0.140000000596046,1.42999994754791
fitbit,5577150313,1462838400.0,639,194,37,104,0,3.34999990463257,0.75,2.55999994277954
fitbit,5577150313,1462924800.0,257,63,15,45,0,0.889999985694885,0.300000011920929,1.83000004291534
fitbit,6117666160,1460419200.0,1440,0,0,0,0,0,0,0
fitbit,6117666160,1460505600.0,1440,0,0,0,0,0,0,0
fitbit,6117666160,1460592000.0,1440,0,0,0,0,0,0,0
fitbit,6117666160,1460678400.0,921,513,6,0,0,10.3000001907349,0.280000001192093,0
fitbit,6117666160,1460764800.0,502,518,15,7,0,9.47999954223633,0.850000023841858,0.579999983310699
fitbit,6117666160,1460851200.0,702,312,0,0,0,5.40000009536743,0,0
fitbit,6117666160,1460937600.0,759,241,0,0,0,3.89000010490417,0,0
fitbit,6117666160,1461024000.0,425,480,0,0,0,8.40999984741211,0,0
fitbit,6117666160,1461110400.0,587,349,10,26,0,5.51999998092651,0.479999989271164,2.02999997138977
fitbit,6117666160,1461196800.0,579,294,19,11,0,5.61999988555908,0.400000005960464,0.980000019073486
fitbit,6117666160,1461283200.0,413,402,0,0,0,6.19999980926514,0,0
fitbit,6117666160,1461369600.0,468,512,0,0,0,8.68000030517578,0,0
fitbit,6117666160,1461456000.0,711,362,0,0,0,5.76000022888184,0,0
fitbit,6117666160,1461542400.0,1440,0,0,0,0,0,0,0
fitbit,6117666160,1461628800.0,1077,352,7,0,0,6.86999988555908,0.340000003576279,0
fitbit,6117666160,1461715200.0,417,458,0,0,0,7.1100001335144,0,0
fitbit,6117666160,1461801600.0,758,141,0,0,0,2.59999990463257,0,0
fitbit,6117666160,1461888000.0,479,461,0,0,0,7.23999977111816,0,0
fitbit,6117666160,1461974400.0,1040,343,0,0,0,5.28000020980835,0,0
fitbit,6117666160,1462060800.0,525,397,0,0,0,6.73000001907349,0,0
fitbit,6117666160,1462147200.0,1204,236,0,0,0,3.73000001907349,0,0
fitbit,6117666160,1462233600.0,1440,0,0,0,0,0,0,0
fitbit,6117666160,1462320000.0,1279,156,0,0,0,2.25999999046326,0,0
fitbit,6117666160,1462406400.0,479,487,0,0,0,7.40000009536743,0,0
fitbit,6117666160,1462492800.0,673,133,0,0,0,2.6800000667572,0,0
fitbit,6117666160,1462579200.0,456,412,0,0,0,5.53999996185303,0,0
fitbit,6117666160,1462665600.0,517,318,0,0,0,5.53000020980835,0,0
fitbit,6117666160,1462752000.0,125,197,0,0,0,3.38000011444092,0,0
fitbit,6290855005,1460419200.0,1241,199,0,0,0,3.45000004768372,0,0
fitbit,6290855005,1460505600.0,1090,350,0,0,0.00999999977648258,5.3899998664856,0,0
fitbit,6290855005,1460592000.0,1077,363,0,0,0.0299999993294477,5.76999998092651,0,0
fitbit,6290855005,1460678400.0,1112,328,0,0,0.00999999977648258,7.17000007629395,0,0
fitbit,6290855005,1460764800.0,1182,258,0,0,0.00999999977648258,6.26999998092651,0,0
fitbit,6290855005,1460851200.0,1172,225,12,31,0,4,0.790000021457672,1.13999998569489
fitbit,6290855005,1460937600.0,1169,271,0,0,0.0199999995529652,5.19000005722046,0,0
fitbit,6290855005,1461024000.0,1119,321,0,0,0.00999999977648258,5.3899998664856,0,0
fitbit,6290855005,1461110400.0,1182,258,0,0,0.00999999977648258,4.80000019073486,0,0
fitbit,6290855005,1461196800.0,1440,0,0,0,0,0,0,0
fitbit,6290855005,1461283200.0,1138,302,0,0,0,4.71999979019165,0,0
fitbit,6290855005,1461369600.0,1407,0,0,33,0,0,0,0
fitbit,6290855005,1461456000.0,1182,258,0,0,0,4.46000003814697,0,0
fitbit,6290855005,1461542400.0,1180,249,3,8,0.00999999977648258,5.03000020980835,0.180000007152557,0.680000007152557
fitbit,6290855005,1461628800.0,1440,0,0,0,0,0,0,0
